                                         The SAS System     11:42 Thursday, November 1, 2001   1

                    Obs     env     rep    block    entry     line     yield
                    383    96NAS     2        1        3     K483-1     22.3
                    384    96NAS     2        5        4     K489-1     34.0
                    385    96NAS     2        9        5     K490-1     29.2
                    386    96NAS     2        9        6     K492-1     24.3
                    387    96NAS     2        4        7     K493-1     33.1
                    388    96NAS     2        2        8     K498-1     29.6
                    389    96NAS     2        2        9     K499-1     31.5
                    390    96NAS     2        6       10     K500-1     23.6
                    391    96NAS     2       10       11     K505-1     19.0
                    392    96NAS     2        4       12     K507-1       .
                    393    96NAS     2        2       13     K510-1     27.1
                    394    96NAS     2       11       14     K528-1     28.9
                    395    96NAS     2        3       15     K530-1     28.6
                    396    96NAS     2        3       16     K533-1     22.8
                    397    96NAS     2        1       17     K535-1     36.4
                    398    96NAS     2        2       18     K536-1     21.1
                    399    96NAS     2        6       19     K538-1     21.7
                    400    96NAS     2        4       20     K546-1     32.0
                                         The SAS System     11:42 Thursday, November 1, 2001   9

                    Obs     env     rep    block    entry     line     yield

                    401    96NAS     2        8       21     K551-1     39.5
                    402    96NAS     2       11       22     K553-1     41.3
                    403    96NAS     2        8       23     K555-1     20.4
                    404    96NAS     2        2       24     K557-1     27.6
                    405    96NAS     2        4       25     K567-1     26.7
                    406    96NAS     2        6       26     K569-1     40.8
                    407    96NAS     2       10       27     K571-1     31.0
                    408    96NAS     2        9       28     K576-1     29.1
                    409    96NAS     2       12       29     K577-1     25.3
                    410    96NAS     2        6       30     K468-2     27.7
                    411    96NAS     2       11       31     K480-2     31.8
                    412    96NAS     2        9       32     K487-2     33.8
                    413    96NAS     2        2       33     K490-2     28.2
                    414    96NAS     2        7       34     K492-2     35.3
                    415    96NAS     2       11       35     K494-2     36.5
                    416    96NAS     2        9       36     K495-2     23.0
                    417    96NAS     2       11       37     K497-2     36.5
                    418    96NAS     2       10       38     K498-2     28.6
                    419    96NAS     2       10       39     K499-2     33.7
                    420    96NAS     2        5       40     K514-2     36.8
                    421    96NAS     2        8       41     K507-2     28.8
                    422    96NAS     2       10       42     K508-2     24.6
                    423    96NAS     2        2       43     K515-2     36.0
                    424    96NAS     2        5       44     K573-4     21.6
                    425    96NAS     2        5       45     K524-2     34.4
                    426    96NAS     2        6       46     K525-2     23.2
                    427    96NAS     2       10       47     K534-2     33.8
                    428    96NAS     2       11       48     K542-2     27.1
                    429    96NAS     2        4       49     K543-2     17.6
                    430    96NAS     2        1       50     K555-2     27.3
                    431    96NAS     2       10       51     K561-2     33.8
                    432    96NAS     2       12       52     K566-2     36.2
                    433    96NAS     2        8       53     K569-2     32.1
                    434    96NAS     2        1       54     K573-2     38.1
                    435    96NAS     2       12       55     K577-2     36.9
                    436    96NAS     2        6       56     K469-3     26.9
                    437    96NAS     2        4       57     K471-3     34.0
                    438    96NAS     2        3       58     K473-3     28.2
                    439    96NAS     2       12       59     K531-4     34.3
                    440    96NAS     2        8       60     K487-4     23.2
                    441    96NAS     2        7       61     K491-3     30.1
                    442    96NAS     2       12       62     K495-3     37.4
                    443    96NAS     2       10       63     K501-3     26.5
                    444    96NAS     2       10       64     K502-3     20.4
                    445    96NAS     2        8       65     K556-4     21.5
                    446    96NAS     2        7       66     K513-3     23.9
                    447    96NAS     2        1       67     K514-3     26.1
                    448    96NAS     2       12       68     K469-4     36.0
                    449    96NAS     2        7       69     K524-3     31.0
                    450    96NAS     2        1       70     K526-3     36.1
                                         The SAS System     11:42 Thursday, November 1, 2001  10

                    Obs     env     rep    block    entry     line     yield

                    451    96NAS     2       11       71     K530-3     32.5
                    452    96NAS     2        4       72     K531-3     38.2
                    453    96NAS     2        8       73     K532-3     26.2
                    454    96NAS     2        6       74     K538-3     29.5
                    455    96NAS     2       12       75     K544-3     20.8
                    456    96NAS     2        5       76     K546-3     31.1
                    457    96NAS     2       12       77     K543-4     23.9
                    458    96NAS     2       10       78     K550-3     18.6
                    459    96NAS     2       12       79     K552-3     35.2
                    460    96NAS     2        1       80     K555-3     27.4
                    461    96NAS     2        7       81     K556-3     28.2
                    462    96NAS     2        7       82     K557-3     33.8
